District,VDC Code,VDC,Ward,HH,Total,Male,Female
Nuwakot,1,BagesworiChokade,1,83,389,183,206
Nuwakot,1,BagesworiChokade,2,86,400,206,194
Nuwakot,1,BagesworiChokade,3,127,569,261,308
Nuwakot,1,BagesworiChokade,4,125,551,262,289
Nuwakot,1,BagesworiChokade,5,47,242,111,131
Nuwakot,1,BagesworiChokade,6,75,373,177,196
Nuwakot,1,BagesworiChokade,7,238,998,464,534
Nuwakot,1,BagesworiChokade,8,161,756,360,396
Nuwakot,1,BagesworiChokade,9,131,708,358,350
Nuwakot,2,Balkumari,1,70,315,156,159
Nuwakot,2,Balkumari,2,48,246,118,128
Nuwakot,2,Balkumari,3,66,374,188,186
Nuwakot,2,Balkumari,4,23,121,64,57
Nuwakot,2,Balkumari,5,50,265,137,128
Nuwakot,2,Balkumari,6,57,256,124,132
Nuwakot,2,Balkumari,7,55,225,113,112
Nuwakot,2,Balkumari,8,55,290,141,149
Nuwakot,2,Balkumari,9,72,394,189,205
Nuwakot,3,Barsunchet,1,11,32,15,17
Nuwakot,3,Barsunchet,2,9,27,10,17
Nuwakot,3,Barsunchet,3,13,55,24,31
Nuwakot,3,Barsunchet,4,6,22,6,16
Nuwakot,3,Barsunchet,5,17,52,22,30
Nuwakot,3,Barsunchet,6,9,28,11,17
Nuwakot,3,Barsunchet,7,12,38,18,20
Nuwakot,3,Barsunchet,8,20,84,38,46
Nuwakot,3,Barsunchet,9,21,88,37,51
Nuwakot,4,Belkot,1,223,"1,130",552,578
Nuwakot,4,Belkot,2,196,997,489,508
Nuwakot,4,Belkot,3,163,799,407,392
Nuwakot,4,Belkot,4,209,"1,164",590,574
Nuwakot,4,Belkot,5,267,"1,279",584,695
Nuwakot,4,Belkot,6,164,744,348,396
Nuwakot,4,Belkot,7,139,684,340,344
Nuwakot,4,Belkot,8,67,290,141,149
Nuwakot,4,Belkot,9,121,573,272,301
Nuwakot,5,Beteni,1,109,540,258,282
Nuwakot,5,Beteni,2,76,356,163,193
Nuwakot,5,Beteni,3,130,612,281,331
Nuwakot,5,Beteni,4,59,335,175,160
Nuwakot,5,Beteni,5,75,363,181,182
Nuwakot,5,Beteni,6,42,223,116,107
Nuwakot,5,Beteni,7,145,702,358,344
Nuwakot,5,Beteni,8,76,389,202,187
Nuwakot,5,Beteni,9,161,852,444,408
Nuwakot,6,Bhadratar,1,80,331,156,175
Nuwakot,6,Bhadratar,2,35,161,92,69
Nuwakot,6,Bhadratar,3,89,409,206,203
Nuwakot,6,Bhadratar,4,50,203,94,109
Nuwakot,6,Bhadratar,5,103,423,191,232
Nuwakot,6,Bhadratar,6,64,306,148,158
Nuwakot,6,Bhadratar,7,71,309,151,158
Nuwakot,6,Bhadratar,8,73,365,165,200
Nuwakot,6,Bhadratar,9,140,731,366,365
Nuwakot,7,Bhalche,1,90,443,222,221
Nuwakot,7,Bhalche,2,99,474,217,257
Nuwakot,7,Bhalche,3,58,280,128,152
